claim_id,claim_group,source_label,source_url,status,language,corpus_scope,terms,spellings_or_forms,skip_or_rule,layout_or_metric,current_reproduction,evidence,notes
torah_forward_50_genesis,common_torah_skip50,Common Torah-code example,,reproducible,michigan,Genesis Koren Torah,Torah,TWRH / תורה,+50 forward,book-start ELS,Found the expected early Genesis hit plus additional Genesis hits,docs/COMMON_EDLS_TEST.md,Engine reproduces the common Torah skip-50 sanity check without importing external ELS code.
torah_forward_50_exodus,common_torah_skip50,Common Torah-code example,,reproducible,michigan,Exodus Koren Torah,Torah,TWRH / תורה,+50 forward,book-start ELS,Found the expected early Exodus hit plus additional Exodus hits,docs/COMMON_EDLS_TEST.md,Engine reproduces the common Torah skip-50 sanity check without importing external ELS code.
torah_reverse_50_numbers,common_torah_skip50,Common Torah-code example,,reproducible,michigan,Numbers Koren Torah,Torah reversed,HRWT / הרות,+50 forward on reversed spelling,book-start reverse ELS,Found the expected early Numbers reverse hit plus additional Numbers hits,docs/COMMON_EDLS_TEST.md,Recorded as Michigan-Claremont forward spelling HRWT.
torah_reverse_49_deuteronomy,common_torah_skip50,Common Torah-code example,,reproducible,michigan,Deuteronomy Koren Torah,Torah reversed,HRWT / הרות,+49 forward on reversed spelling,book-start reverse ELS,Found the expected early Deuteronomy reverse hit plus additional Deuteronomy hits,docs/COMMON_EDLS_TEST.md,Classic popular version often cites reverse Torah near Deuteronomy opening.
yhwh_leviticus_skip8,common_torah_skip50,Common Torah-code example,,reproducible,michigan,Leviticus Koren Torah,YHWH,YHWH / יהוה,+8 forward,book-start ELS,Found the expected Leviticus opening hit plus additional Leviticus hits,docs/COMMON_EDLS_TEST.md,Sanity check only; small shuffled controls do not test the book-start placement claim.
wrr_1994_great_rabbis,wrr_1994,Witztum Rips Rosenberg 1994,https://doi.org/10.1214/ss/1177010393,under_specified,hebrew,Genesis,rabbi names and dates,canonical appellations plus Hebrew date encodings,WRR-defined skip/layout rules,proximity statistic,Source audit imports WRR2 and fingerprints Koren Genesis but the claim-readiness gate remains blocked until pair universe corrected distance skip caps and permutation rule are locked,docs/WRR_CLAIM_READINESS.md,Source audit remains docs/WRR_SOURCE_AUDIT.md; do not claim reproduction until the readiness gate passes from citable sources.
doxa_exact_center_extension,project_followup,Post-discovery Greek doxa extension follow-up,,controlled_review_candidate,greek,TR_NT BYZ_NT TCG_NT and SBLGNT,Glory,doxa / δοξα with δοξανωσ,+21 forward,same-skip term-plus-after extension with exact center context,Four-source 5000/5000 and 20000/20000 follow-ups passed registered q <= 0.01 review gates; the 20000/20000 run has combined q = 0.0009 in all four sources and all-control q <= 0.05,docs/DOXA_FOUR_SOURCE_CONFIRMATORY_FOLLOWUP_REPORT.md,Post-discovery follow-up; full extension phrase is hidden-path only and not surface text in the hit passage.
gog_rev_20_8_centered_occurrence,project_followup,Greek Gog centered occurrence follow-up,,controlled_review_candidate,greek,TR_NT BYZ_NT TCG_NT and SBLGNT,Gog,γωγ,full-span exact-center both directions,centered-self occurrence with matched length-3 surface controls,Hidden Greek Gog centers on open Gog at Rev 20:8 across all four compared Greek NT source labels; matched length-3 controls caution against frequency promotion,docs/CENTERED_OCCURRENCE_INDEX.md,Occurrence-first review row; preserve in final occurrence list but do not promote as a claim.
greek_expanded_surface_followup,project_followup,Post-screen Greek expanded surface follow-up,,controlled_review_candidate,greek,TR_NT BYZ_NT TCG_NT and SBLGNT,Isaac Lawlessness Wonder,ισαακ / ανομια / τερας,skip -7 -13 and +20 exact-center surface rows,all-source exact-center surface context with all-available real-word controls,Selected rows pass letter-path audit and all-available same-length controls with q 0.032258,docs/GREEK_EXPANDED_SURFACE_FOLLOWUP_REPORT.md,Post-screen follow-up from previously observed surface queue; not prospective discovery or claim.
all_codes_yom_yhwh_compound_extension,project_followup,Post-screen all-codes יום יהוה compound-extension follow-up,,controlled_review_candidate,hebrew,EBIBLE_WLC MAM MT_WLC UHB and UXLC,Day of YHWH,יום יהוה with היומיהוה,skip +4 forward,same-skip before-plus-term compound extension,Selected key passed locked 5000/5000 confirmatory controls in all five MT-family sources with conservative all-control q = 0.003599,docs/ALL_CODES_COMPOUND_EXTENSION_CONFIRMATORY_CONTROLS.md,Post-discovery follow-up from broad all-codes queue; review candidate not claim.
crd_exact_center_word_broad_screen,project_followup,CRD self and concept exact center-word broad screen,,partially_reproducible,hebrew/greek/english,Bible corpus set and language-matched secular controls,All committed CRD search terms,self-surface spellings and same-concept variants,skip 2..100 both directions,deterministic centered relevance density with exact center-word subset,Self-surface and concept-surface CRD produce identical 1153 Bible exact center-word term-hit rows; collapsed counts are 154 term IDs / 87 distinct normalized surface forms / 496 distinct normalized surface hit paths; center-word-only summary has 141 terms above secular max and 114 Bible-positive secular-zero terms; concept expansion changes zero exact center-word exceedance decisions,docs/CRD_CENTER_WORD_SELF_VS_CONCEPT_FINDINGS.md,Review packet only; exact center-word rows are occurrence and density flags not claim-grade evidence; version-presence companion is docs/CRD_CENTER_WORD_VERSION_PRESENCE_FINDINGS.md.
greek_surface_length4_vocab_controls,project_followup,Post-discovery Greek length-4 surface follow-up,,partially_reproducible,greek,TR_NT BYZ_NT TCG_NT and SBLGNT,Amen Aram Asher Cush Lasha Seba Zion,αμην / αραμ / ασηρ / χουσ / δασα / σαβα / σιων,length-4 all-source exact-center surface rows,vocabulary-derived real-word matched controls,Length-4 rows reproduce but generated vocabulary controls overlap every target and no target survives study-level q <= 0.05,docs/GREEK_SURFACE_LENGTH4_VOCABULARY_CONTROL_EVALUATION.md,Post-discovery follow-up; useful caution about sparse declared-term controls rather than claim evidence.
modern_geopolitical_short_forms,user_requested_screen,User-requested modern/geopolitical screening,,partially_reproducible,hebrew/greek,Hebrew MT-family and Greek LXX/NT representative streams,Trump Vance Netanyahu Iran Russia France Europe Germany Turkey NATO USA United Nations Gog Magog Beast Dragon,declared Hebrew and Greek transliterations,skip 2..250 both directions,wide counts exact ref-key presence plus representative paired controls,Short forms are often present and version-stable where present but representative paired controls do not support a claim,docs/WIDE_FOCUS_PAIRED_CONTROLS.md,Presence is reproducible as screening output; significance is not supported.
modern_full_country_phrases,user_requested_screen,User-requested modern/geopolitical screening,,not_reproducible,hebrew/greek,Hebrew MT-family and Greek LXX/NT representative streams,United States United States of America United Nations European Union,declared full phrase transliterations,skip 2..250 both directions,wide counts plus capped exact ref-key version presence,Full phrase forms remain absent in the wide count and exact follow-up,docs/WIDE_FOCUS_EXACT_PRESENCE.md,Short acronyms are high-noise and should not be treated as phrase hits.
local_business_place_terms,user_requested_screen,User-requested local screening,,partially_reproducible,hebrew/greek,Hebrew MT-family and Greek NT representative streams,Cowboy Catering Simsberry Simscorner,declared Hebrew and Greek transliterations,skip 2..250 both directions,local negative appendix exact ref-key presence plus representative paired controls,Local appendix found Hebrew Cowboy only; Cowboy is not unusual under representative controls; Hebrew Catering/Cowboy Catering/Simsberry/Simscorner and all Greek local forms are absent,docs/LOCAL_TERMS_APPENDIX_REPORT.md,No local row has adjusted control support or claim status.
lxx_apocrypha_bridge_boundary,user_requested_study,User-requested apocrypha bridge-completion study,,partially_reproducible,greek,eBible GRCLXX canonical plus deuterocanon/apocrypha boundary,Theological prophetic and Greek NT claim terms,declared normalized Greek forms,skip 2..250 both directions crossing canonical/apocrypha boundary,bridge row count with non-Bible and shuffled insertion controls,LXX boundary rows reproduce but same-length non-Bible controls are comparable and 100 shuffled controls include 16 samples at or above observed with p_ge 0.168317,docs/APOCRYPHA_BRIDGE_STUDY.md,Bridge-completion mechanics are implemented but current LXX control read does not support significance.
kjva_apocrypha_bridge_boundary,user_requested_study,User-requested KJV Apocrypha bridge-completion study,,controlled_review_candidate,english,eBible KJV with Apocrypha canonical plus apocrypha boundary,English search terms,declared normalized English forms,skip 2..250 both directions crossing canonical/apocrypha boundary,bridge row count with non-Bible and shuffled insertion controls,KJVA bridge pass found 350 rows versus non-Bible controls of 182 140 and 168; term review found 48 of 81 bridge terms above all three same-length non-Bible term controls; 250 total shuffled controls produced 149 to 236 rows with p_ge 0.003984; 1000 term shuffled controls found 8 of 81 terms above every shuffled sample and 15 terms with BH q_ge <= 0.05; locked 5000 post-screen confirmatory controls over those 15 terms found all 15 at BH q_ge <= 0.01 and 3 above every shuffled sample,docs/APOCRYPHA_BRIDGE_STUDY.md,Post-screen follow-up candidate only; 15 registered confirmatory terms pass BH q_ge <= 0.01 under 5000 samples but no center-word exact bridge rows and this is not original prospective discovery.
rabin_assassination_hebrew,public_media_claim,Popular Bible-code/Rabin claim,,under_specified,hebrew,Hebrew Bible,Rabin assassination,רבין / יצחק רבין / רבין נרצח,not locked,claimed close clustering,Term rows exist but a claim-specific source spelling skip and clustering metric are not locked,docs/HEBREW_CLAIM_TERMS.md,Needs a cited claim source and predeclared spelling/layout before reproduction status can be assigned.
hitler_shoah_hebrew,public_media_claim,Popular Holocaust-related Bible-code claims,,under_specified,hebrew,Hebrew Bible,Hitler Shoah Holocaust,היטלר / שואה / הולוקוסט,not locked,claimed close clustering,Term rows exist but no specific public claim geometry has been locked,docs/HEBREW_CLAIM_TERMS.md,Screening terms are not the same thing as reproducing a public claim.
jesus_hebrew_phrases,public_media_claim,Popular Messianic/Jesus Bible-code claims,,under_specified,hebrew,Hebrew Bible,Jesus phrases,ישוע / אני ישוע / ישוע נצלב / דם ישוע,not locked,claimed phrases or clusters,Term rows exist but specific claim spellings source text and metric are not locked,docs/HEBREW_CLAIM_TERMS.md,Requires a claim-by-claim spelling audit because variants change the search target.
