decision_id,register_decision_rank,decision_lane,review_state,decision_target,source_checklist,decision_status,selected_action,evidence_citation,evidence_summary,locked_by,locked_at,notes
wrr_decision_001,1,source_policy_pair_rule,pending_source_policy_pair_rule_lock,Chelm source-policy/pair-rule target,docs/WRR_SOURCE_POLICY_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wnp_en.html:608-619;reports/wrr_1994/wnp_en.html:931-935;reports/wrr_1994/wnp_en.html:1052-1054,Kept working source unchanged because WNP Chełm context supports review scope while local row OCR does not lock the Chełm forms as source-cell text,Justin Scaggs,2026-05-25,Choice 1 A from user
wrr_decision_002,2,source_transcription_row_cluster,pending_manual_source_lock,row 06,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:2,Kept working source unchanged for row 06 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_003,3,source_transcription_row_cluster,pending_manual_source_lock,row 14,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:3,Kept working source unchanged for row 14 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_004,4,source_transcription_row_cluster,pending_manual_source_lock,row 24,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:4,Kept working source unchanged for row 24 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_005,5,source_transcription_row_cluster,pending_manual_source_lock,row 01,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:5,Kept working source unchanged for row 01 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_006,6,source_transcription_row_cluster,pending_manual_source_lock,row 03,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:6,Kept working source unchanged for row 03 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_007,7,source_transcription_row_cluster,pending_manual_source_lock,row 09,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:7,Kept working source unchanged for row 09 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_008,8,source_transcription_row_cluster,pending_manual_source_lock,row 10,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:8,Kept working source unchanged for row 10 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_009,9,source_transcription_row_cluster,pending_manual_source_lock,row 11,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:9,Kept working source unchanged for row 11 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_010,10,source_transcription_row_cluster,pending_manual_source_lock,row 15,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:10,Kept working source unchanged for row 15 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_011,11,source_transcription_row_cluster,pending_manual_source_lock,row 22,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:11,Kept working source unchanged for row 22 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_012,12,source_transcription_row_cluster,pending_manual_source_lock,row 23,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:12,Kept working source unchanged for row 23 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_013,13,source_transcription_row_cluster,pending_manual_source_lock,row 25,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:13,Kept working source unchanged for row 25 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_014,14,source_transcription_row_cluster,pending_manual_source_lock,row 02,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:14,Kept working source unchanged for row 02 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_015,15,source_transcription_row_cluster,pending_manual_source_lock,row 05,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:15,Kept working source unchanged for row 05 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_016,16,source_transcription_row_cluster,pending_manual_source_lock,row 07,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:16,Kept working source unchanged for row 07 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_017,17,source_transcription_row_cluster,pending_manual_source_lock,row 16,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:17,Kept working source unchanged for row 16 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_018,18,source_transcription_row_cluster,pending_manual_source_lock,row 20,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:18,Kept working source unchanged for row 20 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_019,19,source_transcription_row_cluster,pending_manual_source_lock,row 26,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:19,Kept working source unchanged for row 26 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_020,20,source_transcription_row_cluster,pending_manual_source_lock,row 27,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:20,Kept working source unchanged for row 27 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_021,21,source_transcription_row_cluster,pending_manual_source_lock,row 29,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:21,Kept working source unchanged for row 29 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_022,22,source_transcription_row_cluster,pending_manual_source_lock,row 30,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:22,Kept working source unchanged for row 30 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
wrr_decision_023,23,source_transcription_row_cluster,pending_manual_source_lock,row 32,docs/WRR_SOURCE_TRANSCRIPTION_ROW_REVIEW_CHECKLIST.md,locked,no_source_change,reports/wrr_1994/wrr_source_transcription_evidence_row_summary.csv:23,Kept working source unchanged for row 32 because row-aligned OCR/probe evidence is not claim-grade proof for source correction and secondary WRR2 row alignment remains the working source,Justin Scaggs,2026-05-25,User chose A for row 06 and same source-transcription evidence pattern
