decision_id,label,page_number,visual_review_status,visual_page_role,visual_text_signal,ocr_read_status,source_row_use,decision,reviewed_by,reviewed_at,notes
cities_ocr_page_review_001,cities_pdf_dp365a_p1_4,3,reviewed,appendix_toc_or_index_page,text_present,ocr_empty_but_visual_text_present,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Short appendix or contents style page only; OCR empty does not block source table pages.
cities_ocr_page_review_002,cities_pdf_dp365a_p1_4,4,reviewed,blank_or_separator_page,near_blank,ocr_empty_matches_near_blank_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Near blank separator page with only page marker; no source-row use.
cities_ocr_page_review_003,cities_pdf_dp365a_p5_11,1,reviewed,title_page,text_present,low_signal_ocr_matches_title_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Title page only; low OCR signal expected and not source-row-bearing.
cities_ocr_page_review_004,cities_pdf_dp365a_p12_17,1,reviewed,method_intro_prose_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Method-introduction prose page; no tabular source-row import.
cities_ocr_page_review_005,cities_pdf_dp365a_p12_17,2,reviewed,source_exception_notes_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Source-discrepancy examples page; requires separate citable row lock before any data use.
cities_ocr_page_review_006,cities_pdf_dp365a_p12_17,3,reviewed,source_exception_notes_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Source-discrepancy examples page; requires separate citable row lock before any data use.
cities_ocr_page_review_007,cities_pdf_dp365a_p12_17,4,reviewed,source_exception_notes_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Source-discrepancy examples page; requires separate citable row lock before any data use.
cities_ocr_page_review_008,cities_pdf_dp365a_p12_17,5,reviewed,source_exception_notes_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Source-discrepancy examples page; requires separate citable row lock before any data use.
cities_ocr_page_review_009,cities_pdf_dp365a_p12_17,6,reviewed,criteria_and_source_exception_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Criteria and source-discrepancy prose page; requires separate citable row lock before any data use.
cities_ocr_page_review_010,cities_pdf_dp365a_p5_11,2,reviewed,method_prose_with_index_page,text_present,ocr_signal_present_for_prose_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Method prose with small index or outline; no source-row import.
cities_ocr_page_review_011,cities_pdf_dp365a_p5_11,3,reviewed,prose_with_source_table_page,text_present,ocr_signal_present_for_table_page,no_source_row_use,no_source_row_import,gpt-5-assisted-image-review,2026-05-26,Visual table present; row import blocked pending separate citable source-row lock.
